Province,District,Commune Eng,Village ENG,District KH,Commune KH,Village,Code_District,Code Commune,Code Village,Province KH,Province Cod,Vil Lat,Vil Long,Dist Lat,Dist Long
Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Thum,?????????,?????????,?????,102,10201,1020101,?????????????????,1,13.5157174,103.0354764,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Phnum,?????????,?????????,????,102,10201,1020102,?????????????????,1,13.51557916,103.0179287,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Banteay Neang,?????????,?????????,?????????,102,10201,1020103,?????????????????,1,13.51196436,103.0179586,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Pnov,?????????,?????????,???????,102,10201,1020104,?????????????????,1,13.50466157,103.0087832,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Trang,?????????,?????????,?????,102,10201,1020105,?????????????????,1,13.51009108,103.0096617,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Pongro,?????????,?????????,????,102,10201,1020106,?????????????????,1,13.5016348,103.0054743,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Kouk Tonloab,?????????,?????????,??????????,102,10201,1020107,?????????????????,1,13.48934264,103.0144513,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Trabaek,?????????,?????????,??????,102,10201,1020108,?????????????????,1,13.49034831,103.0273722,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Khilek,?????????,?????????,?????,102,10201,1020109,?????????????????,1,13.4876154,103.0246241,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Samraong Pen,?????????,?????????,????????,102,10201,1020110,?????????????????,1,13.49219199,103.0319748,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Dang Run Lech,?????????,?????????,????????,102,10201,1020111,?????????????????,1,13.49353718,103.0352515,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Dang Run Kaeut,?????????,?????????,????????,102,10201,1020112,?????????????????,1,13.49770817,103.0439358,13.54167,103.025
Banteay Meanchey,Mongkol Borei,Banteay Neang,Ou Snguot,?????????,?????????,????????,102,10201,1020113,?????????????????,1,13.4667647,103.0164845,13.54167,103.025
